sas_19870127DFP,sas_19870127DFP
sas_19930907EP,sas_19930907EP
sas_19641008AEP,sas_19641008AEP
b3325180,"b3325180,CA1 EA10 91T58 EXF"
sas_19870529AFP,sas_19870529AFP
sas_19771108FS,sas_19771108FS
sas_19881018FS,sas_19881018FS
b4018941,"b4018941,CA1 EA10 2003T14 EXF"
sas_19531216EP,sas_19531216EP
b163012x,"b163012x,CA1 EA10 41T06 FRE"
sas_19931005ESt,sas_19931005ESt
b3542622,"b3542622,CA1 EA10 96T01 EXF"
b3763298,"b3763298,CA1 EA752 98B71 ENG"
sas_19620315FP,sas_19620315FP
b4266298F,"b4266298F,CA1 EA A55 FRE"
sas_19811013AEP,sas_19811013AEP
b3177932,"b3177932,CA1 EA10 51T09 EXF"
sas_19800731EP,sas_19800731EP
sas_19510526ES,sas_19510526ES
sas_19850924EP,sas_19850924EP
b3208540,"b3208540,CA1 EA10 38T16 EXF"
sas_19751106BES,sas_19751106BES
b2438434F_029,b2438434F_029
b2320836,"b2320836,CA1 EA10 85T10 EXF"
b160336xF,"b160336xF,CA1 EA C17 FRE"
b2322973,"b2322973,CA1 EA10 85T39 EXF"
sas_19480203EP,sas_19480203EP
sas_19800707ESt,sas_19800707ESt
sas_19921125FP,sas_19921125FP
b3007443,"b3007443,CA1 EA10 57T07 EXF"
sas_19820722ES,sas_19820722ES
b3697174F,"b3697174F,CA1 EA 2002C11 EXF"
sas_19900717CEP,sas_19900717CEP
sas_19621011ES,sas_19621011ES
sas_19621116BEP,sas_19621116BEP
b2509234F_001,b2509234F_001
b428172x,"b428172x,CA1 EA10 2009T18 EXF"
sas_19630919ES,sas_19630919ES
sas_19621221FP,sas_19621221FP
sas_19880728ES,sas_19880728ES
sas_19851211FS,sas_19851211FS
sas_19851107FS,sas_19851107FS
b3463333E_052,b3463333E_052
sas_19761203FSt,sas_19761203FSt
b2558658E,"b2558658E,CA1 EA660 92S83 EXF"
sas_19610609EP,sas_19610609EP
sas_19860225FP,sas_19860225FP
b3497756,"b3497756,CA1 EA751 97T57 ENG"
sas_19891206FSt,sas_19891206FSt
sas_19941110FP,sas_19941110FP
b2313194,"b2313194,CA1 EA10 87T34 EXF"
sas_19890807FS,sas_19890807FS
sas_19950308BFP,sas_19950308BFP
sas_19851204AEP,sas_19851204AEP
