key,term
oop.debates_HOC1904_04,"5,12,337,559"
oop.debates_SOC1805_01,"5,6,548,549"
oop.debates_SDC0903,"1,2,56,216"
oop.debates_HOC1207_05,"5,12,370,600"
oop.debates_SOC0701_07,"5,6,39,53"
oop.debates_CDC1202_03,"1,9,308,623"
oop.debates_SOC1904_01,"5,6,239,592"
oop.debates_SOC2107_01,"5,6,271,324"
oop.debates_HOC3001_04,"5,12,349,362"
oop.debates_HOC2601_06,"5,12,295,296"
oop.debates_CDC2403_20,"1,9,251,647"
oop.debates_SOC0202_02,"5,6,174,175"
oop.debates_SOC0602_06,"5,6,37,38"
oop.debates_CDC0902,"1,9,144,145"
oop.debates_HOC3301,"5,12,358,692"
oop.debates_SOC2801,"5,6,292,693"
oop.debates_SDC1501,"1,2,680,681"
oop.debates_CDC2602_01,"1,9,231,341"
oop.debates_HOC1301_01,"5,12,229,529"
oop.debates_CDC1206_03,"1,9,308,406"
oop.debates_HOC2107_02,"5,12,327,328"
oop.debates_SOC1305_01,"5,6,233,258"
oop.debates_SOC2103_01,"5,6,271,364"
oop.debates_SDC1901,"1,2,449,474"
oop.debates_HOC2201,"5,12,247,601"
oop.debates_CDC2401_04,"1,9,251,632"
oop.debates_CDC2005_03,"1,9,504,666"
oop.debates_HOC1704_04,"5,12,261,675"
oop.debates_HOC2102_02,"5,12,327,631"
oop.debates_SDC3003_01,"1,2,315,665"
oop.debates_HOC2202_20,"5,12,247,263"
oop.debates_SOC1902_01,"5,6,239,494"
oop.debates_SDC1003_01,"1,2,422,480"
oop.debates_HOC2402_02,"5,12,310,481"
oop.debates_CDC2201_05,"1,9,356,473"
oop.debates_CDC1803_03,"1,9,237,448"
oop.debates_SDC1603,"1,2,254,534"
oop.debates_HOC2106_20,"5,12,327,336"
oop.debates_HOC3301_10,"5,12,358,692"
oop.debates_HOC2203_05,"5,12,247,268"
oop.debates_SDC1001,"1,2,422,648"
oop.debates_SOC2203,"5,6,266,267"
oop.debates_SDC3403_02,"1,2,193,221"
oop.debates_HOC1905_02,"5,12,337,495"
oop.debates_CDC2201,"1,9,356,473"
oop.debates_SOC2804_01,"5,6,292,293"
oop.debates_HOC2101_03,"5,12,327,340"
oop.debates_HOC3402_08,"5,12,15,159"
oop.debates_HOC0801_08,"5,12,21,75"
oop.debates_HOC1301_02,"5,12,229,529"
oop.debates_CDC2402_05,"1,9,251,391"
oop.debates_HOC3301_20,"5,12,358,692"
oop.debates_CDC3201_14,"1,9,491,521"
oop.debates_HOC2902,"5,12,476,477"
oop.debates_CDC1704,"1,9,286,662"
oop.debates_CDC3301,"1,9,609,663"
oop.debates_CDC0903_01,"1,9,144,220"
oop.debates_CDC3302_05,"1,9,609,610"
oop.debates_HOC3301_02,"5,12,358,692"
oop.debates_HOC2404_06,"5,12,310,602"
oop.debates_CDC3201_03,"1,9,491,521"
oop.debates_SDC1103_01,"1,2,389,390"
oop.debates_CDC2104_04,"1,9,299,650"
oop.debates_CDC2602_05,"1,9,231,341"
oop.debates_CDC0901_02,"1,9,144,217"
oop.debates_HOC2803_10,"5,12,245,624"
oop.debates_CDC1404_02,"1,9,241,584"
oop.debates_SOC1704_01,"5,6,354,355"
oop.debates_CDC3302_12,"1,9,609,610"
oop.debates_CDC0503_02,"1,9,54,148"
oop.debates_SDC1205,"1,2,279,382"
oop.debates_CDC2701_04,"1,9,284,320"
oop.debates_CDC2601_20,"1,9,231,232"
oop.debates_SOC2104,"5,6,271,323"
oop.debates_HOC2603,"5,12,295,339"
oop.debates_HOC2404_04,"5,12,310,602"
oop.debates_SDC3201,"1,2,264,265"
oop.debates_CDC1706_04,"1,9,286,287"
oop.debates_CDC1603_01,"1,9,351,563"
oop.debates_SOC2702_01,"5,6,467,468"
oop.debates_SDC0202_01,"1,2,87,88"
oop.debates_CDC2803_05,"1,9,380,502"
oop.debates_HOC2002_01,"5,12,302,604"
oop.debates_HOC2102_20,"5,12,327,631"
oop.debates_CDC0704,"1,9,58,102"
oop.debates_SOC1706,"5,6,354,640"
oop.debates_HOC1801,"5,12,288,562"
oop.debates_CDC2104_20,"1,9,299,650"
oop.debates_HOC0401_01,"5,12,25,26"
oop.debates_HOC1001_20,"5,12,273,377"
oop.debates_SDC1402,"1,2,281,301"
oop.debates_CDC1801_02,"1,9,237,353"
oop.debates_CDC2403_01,"1,9,251,647"
oop.debates_HOC2301_04,"5,12,487,488"
oop.debates_HOC2201_03,"5,12,247,601"
oop.debates_CDC1201_02,"1,9,308,309"
oop.debates_CDC3402_11,"1,9,23,28"
oop.debates_CDC2106,"1,9,299,526"
oop.debates_HOC1804_01,"5,12,288,289"
oop.debates_HOC3302_12,"5,12,358,359"
oop.debates_HOC1201,"5,12,370,413"
oop.debates_HOC3201_99,"5,12,333,334"
oop.debates_HOC3403_11,"5,12,15,16"
oop.debates_CDC2105,"1,9,299,300"
oop.debates_SOC2202_01,"5,6,266,606"
oop.debates_HOC1207_02,"5,12,370,600"
oop.debates_HOC1804_02,"5,12,288,289"
oop.debates_HOC3301_08,"5,12,358,692"
oop.debates_HOC0502_02,"5,12,19,141"
oop.debates_CDC1704_03,"1,9,286,662"
oop.debates_CDC1403_05,"1,9,241,242"
oop.debates_HOC2405_01,"5,12,310,325"
oop.debates_CDC3501_01,"1,9,206,211"
oop.debates_CDC0501_01,"1,9,54,187"
oop.debates_CDC1801,"1,9,237,353"
oop.debates_HOC3201_20,"5,12,333,334"
oop.debates_HOC3501_04,"5,12,93,94"
oop.debates_CDC0704_02,"1,9,58,102"
oop.debates_SOC2603_01,"5,6,227,228"
oop.debates_CDC2201_20,"1,9,356,473"
oop.debates_HOC1603_02,"5,12,343,500"
oop.debates_HOC1804_04,"5,12,288,289"
oop.debates_HOC2601_20,"5,12,295,296"
oop.debates_CDC1404_01,"1,9,241,584"
oop.debates_CDC1304_01,"1,9,372,438"
oop.debates_CDC1804_02,"1,9,237,652"
oop.debates_CDC1704_20,"1,9,286,662"
oop.debates_CDC3302_20,"1,9,609,610"
oop.debates_CDC2901_06,"1,9,275,276"
oop.debates_HOC0704,"5,12,70,107"
oop.debates_CDC2901_03,"1,9,275,276"
oop.debates_HOC2001_01,"5,12,302,303"
oop.debates_HOC2102,"5,12,327,631"
oop.debates_HOC2102_01,"5,12,327,631"
oop.debates_HOC3403_15,"5,12,15,16"
oop.debates_CDC1202_02,"1,9,308,623"
oop.debates_CDC2104,"1,9,299,650"
oop.debates_CDC1402,"1,9,241,649"
oop.debates_CDC2902,"1,9,275,597"
oop.debates_HOC2003_20,"5,12,302,383"
oop.debates_HOC2401_20,"5,12,310,311"
oop.debates_CDC1906_20,"1,9,347,641"
oop.debates_CDC1404_03,"1,9,241,584"
oop.debates_HOC2101_01,"5,12,327,340"
oop.debates_CDC1102,"1,9,365,528"
oop.debates_HOC2104,"5,12,327,605"
